"area_code","area_name","area_type","date","covid_occupied_mv_beds","hospital_cases","new_admissions","dataset"
"E40000007","East of England","nhsRegion",2020-04-06,204,1220,231,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-07,255,1431,164,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-08,276,1435,219,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-09,265,1411,192,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-10,280,1500,215,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-11,283,1497,165,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-12,291,1679,144,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-13,264,1471,214,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-14,303,1592,187,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-15,308,1621,113,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-16,308,1577,133,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-17,320,1534,154,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-18,312,1529,191,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-19,306,1579,148,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-20,294,1587,126,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-21,279,1544,148,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-22,276,1511,120,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-23,267,1472,128,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-24,263,1404,141,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-25,260,1384,128,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-26,253,1422,148,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-27,231,1413,127,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-28,223,1389,184,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-29,210,1319,157,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-04-30,202,1253,198,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-01,193,1211,127,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-02,183,1190,111,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-03,179,1223,166,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-04,176,1138,106,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-05,176,1160,90,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-06,171,1106,128,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-07,152,1084,116,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-08,142,1022,70,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-09,144,1032,101,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-10,142,1076,71,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-11,137,1069,88,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-12,134,1049,116,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-13,129,1014,72,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-14,125,979,88,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-15,127,952,92,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-16,125,916,72,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-17,125,934,85,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-18,121,924,81,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-19,122,913,86,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-20,113,888,93,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-21,109,866,77,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-22,104,831,79,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-23,98,816,39,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-24,88,795,52,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-25,92,798,51,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-26,86,755,85,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-27,85,737,57,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-28,78,701,53,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-29,68,603,54,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-30,65,622,43,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-05-31,63,597,29,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-01,64,614,58,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-02,61,574,60,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-03,60,547,46,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-04,54,503,58,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-05,49,490,44,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-06,46,503,30,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-07,40,453,32,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-08,45,457,28,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-09,42,405,44,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-10,48,390,39,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-11,43,376,42,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-12,41,364,30,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-13,45,364,32,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-14,45,348,38,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-15,39,318,57,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-16,42,363,33,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-17,39,387,43,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-18,35,363,38,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-19,34,393,28,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-20,31,352,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-21,29,348,22,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-22,57,369,43,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-23,28,335,21,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-24,28,346,20,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-25,27,327,42,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-26,24,313,32,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-27,24,289,15,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-28,24,288,9,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-29,25,291,21,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-06-30,24,264,20,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-01,23,248,20,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-02,23,231,22,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-03,25,242,9,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-04,24,220,17,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-05,28,224,24,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-06,27,227,22,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-07,24,224,18,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-08,24,222,16,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-09,24,212,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-10,27,199,9,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-11,24,171,12,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-12,19,171,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-13,20,176,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-14,16,162,17,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-15,26,169,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-16,16,126,17,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-17,16,142,10,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-18,17,144,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-19,15,143,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-20,14,143,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-21,13,113,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-22,14,116,13,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-23,12,100,24,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-24,12,105,12,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-25,11,91,16,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-26,10,105,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-27,9,100,18,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-28,10,94,9,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-29,9,92,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-30,8,82,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-07-31,8,77,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-01,9,85,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-02,9,80,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-03,8,73,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-04,8,69,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-05,8,70,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-06,9,72,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-07,9,60,10,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-08,11,59,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-09,9,59,3,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-10,8,63,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-11,8,61,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-12,8,56,1,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-13,9,57,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-14,6,52,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-15,8,60,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-16,7,54,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-17,8,57,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-18,6,47,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-19,6,49,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-20,6,47,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-21,6,40,3,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-22,7,34,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-23,5,31,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-24,5,35,0,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-25,5,28,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-26,5,37,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-27,5,29,3,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-28,4,30,3,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-29,4,30,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-30,3,30,1,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-08-31,3,31,0,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-01,3,31,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-02,3,31,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-03,3,31,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-04,1,30,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-05,1,25,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-06,1,27,1,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-07,1,27,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-08,1,25,2,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-09,4,31,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-10,2,27,5,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-11,67,15,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-12,2,20,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-13,2,21,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-14,3,25,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-15,3,35,13,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-16,3,40,8,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-17,3,42,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-18,2,37,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-19,3,39,4,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-20,2,38,6,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-21,3,41,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-22,3,42,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-23,2,37,7,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-24,4,41,13,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-25,3,45,16,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-26,5,52,12,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-27,6,64,15,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-28,9,76,13,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-29,12,89,10,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-09-30,13,86,18,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-01,12,79,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-02,14,93,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-03,13,101,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-04,14,98,16,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-05,13,115,23,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-06,12,119,11,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-07,13,128,17,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-08,12,119,23,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-09,15,135,19,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-10,17,135,16,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-11,16,140,27,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-12,16,149,24,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-13,20,166,32,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-14,19,183,27,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-15,18,217,41,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-16,19,223,23,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-17,21,241,37,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-18,23,241,41,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-19,21,277,43,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-20,25,295,33,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-21,28,314,50,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-22,25,334,51,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-23,28,343,56,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-24,29,356,42,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-25,30,406,62,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-26,34,419,55,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-27,41,454,51,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-28,42,474,68,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-29,49,476,68,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-30,49,501,67,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-10-31,51,505,56,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-01,50,527,67,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-02,54,555,55,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-03,63,598,76,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-04,65,595,87,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-05,60,611,67,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-06,61,620,61,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-07,62,608,58,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-08,64,636,70,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-09,68,650,103,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-10,72,672,103,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-11,74,709,102,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-12,73,718,127,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-13,71,767,83,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-14,69,783,87,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-15,73,820,109,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-16,79,856,82,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-17,77,891,100,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-18,78,881,109,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-19,79,889,93,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-20,73,895,105,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-21,82,904,73,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-22,77,902,131,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-23,88,956,96,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-24,83,977,103,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-25,79,957,99,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-26,86,969,85,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-27,82,969,64,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-28,86,961,87,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-29,91,948,87,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-11-30,86,991,130,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-01,86,997,122,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-02,81,1014,109,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-03,81,1035,124,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-04,83,1072,106,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-05,87,1064,115,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-06,84,1108,114,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-07,88,1149,167,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-08,86,1155,211,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-09,89,1194,163,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-10,94,1301,136,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-11,95,1327,134,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-12,93,1407,183,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-13,99,1432,159,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-14,103,1506,274,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-15,103,1502,198,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-16,108,1734,235,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-17,113,1770,245,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-18,116,1802,192,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-19,124,1943,233,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-20,121,1954,269,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-21,120,2163,259,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-22,127,2205,308,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-23,120,2085,264,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-24,127,2186,243,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-25,130,2162,242,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-26,130,2269,254,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-27,146,2375,382,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-28,156,2524,393,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-29,175,2922,373,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-30,197,3111,332,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2020-12-31,187,2788,340,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-01,199,2910,386,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-02,208,3236,453,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-03,221,3395,438,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-04,261,3623,479,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-05,241,3520,500,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-06,291,3802,523,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-07,313,3887,524,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-08,309,4013,425,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-09,333,4012,462,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-10,347,4112,473,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-11,364,4219,462,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-12,370,4260,518,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-13,369,4306,456,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-14,374,4303,442,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-15,381,4266,360,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-16,372,4121,418,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-17,371,4177,402,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-18,357,4244,461,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-19,355,3996,404,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-20,334,4068,446,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-21,354,4078,392,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-22,368,4055,407,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-23,365,3921,359,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-24,378,4009,328,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-25,378,4044,346,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-26,372,3924,338,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-27,373,3811,335,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-28,352,3689,344,"PHE_dashboard"
"E40000007","East of England","nhsRegion",2021-01-29,351,3542,290,"PHE_dashboard"
